User_id,food_name,country,calories,protein_g,fat_g,carbs_g,primary_goal,time_of_day,suitability_score
2,Lentil Sopa,Mexico,100,7,2,15,Maintenance,Dinner,0
3,Huevos Rancheros,Mexico,165,8,11,12,Muscle Gain,Breakfast,0
3,Chilaquiles (Baked),Mexico,190,6,10,22,Muscle Gain,Breakfast,0
3,Pork Tamales,Mexico,230,9,14,20,Muscle Gain,Breakfast,0
3,Molletes (Whole Wheat),Mexico,200,10,7,25,Muscle Gain,Breakfast,0
3,Fruit Salad with Lime,Mexico,55,1,0.5,13,Muscle Gain,Breakfast,0
3,Scrambled Eggs with Salsa,Mexico,140,10,11,2,Muscle Gain,Breakfast,0
3,Refried Black Beans,Mexico,120,7,3,16,Muscle Gain,Breakfast,0
3,Mexican Papaya,Mexico,43,0.5,0.1,11,Muscle Gain,Breakfast,0
3,Nopalitos (Cactus Eggs),Mexico,90,6,6,4,Muscle Gain,Breakfast,0
3,Oatmeal with Cinnamon,Mexico,110,4,2,18,Muscle Gain,Breakfast,0
3,Tacos al Pastor (Lean),Mexico,200,14,9,16,Muscle Gain,Lunch,0
3,Chicken Enchiladas,Mexico,185,12,10,14,Muscle Gain,Lunch,0
3,Pozole Soup (Chicken),Mexico,105,9,3,11,Muscle Gain,Lunch,0
3,Chicken Mole (Lean),Mexico,220,16,12,13,Muscle Gain,Lunch,0
3,Fish Ceviche,Mexico,95,15,2,5,Muscle Gain,Lunch,0
3,Grilled Shrimp Tacos,Mexico,160,14,6,14,Muscle Gain,Lunch,0
3,Black Bean Soup,Mexico,90,6,1,16,Muscle Gain,Lunch,0
3,Guacamole & Jicama,Mexico,120,2,10,8,Muscle Gain,Lunch,0
3,Fajita Chicken Salad,Mexico,140,20,6,5,Muscle Gain,Lunch,1
3,Grilled Corn (Elote),Mexico,150,4,6,25,Muscle Gain,Lunch,0
3,Pork Carnitas (Lean),Mexico,240,22,16,0,Muscle Gain,Dinner,1
3,Cheese Quesadilla (WW),Mexico,270,12,16,22,Muscle Gain,Dinner,0
3,Chile Relleno (Baked),Mexico,170,8,11,10,Muscle Gain,Dinner,0
3,Carne Asada,Mexico,210,26,12,0,Muscle Gain,Dinner,1
3,Tortilla Soup,Mexico,110,6,6,9,Muscle Gain,Dinner,0
3,Baked Red Snapper,Mexico,120,24,3,0,Muscle Gain,Dinner,1
3,Beef Barbacoa,Mexico,200,22,12,2,Muscle Gain,Dinner,1
3,Grilled Vegetables,Mexico,70,2,4,8,Muscle Gain,Dinner,0
3,Turkey Tostadas,Mexico,180,15,8,14,Muscle Gain,Dinner,0
3,Lentil Sopa,Mexico,100,7,2,15,Muscle Gain,Dinner,0
4,Grilled Mackerel,Japan,230,21,15,0,Muscle Gain,Breakfast,1
4,Miso Soup,Japan,35,3,1,4,Muscle Gain,Breakfast,0
4,Natto (Fermented Soy),Japan,210,18,11,14,Muscle Gain,Breakfast,0
4,Tamagoyaki,Japan,150,10,10,4,Muscle Gain,Breakfast,0
4,Boiled White Rice,Japan,130,3,0.3,28,Muscle Gain,Breakfast,0
4,Steamed Tofu,Japan,80,8,4,2,Muscle Gain,Breakfast,0
4,Pickled Vegetables,Japan,20,1,0.1,4,Muscle Gain,Breakfast,0
4,Green Tea,Japan,1,0.1,0,0,Muscle Gain,Breakfast,0
4,Onigiri (Tuna),Japan,170,5,1,35,Muscle Gain,Breakfast,0
4,Dried Seaweed,Japan,35,6,0.5,5,Muscle Gain,Breakfast,0
4,Salmon Sushi,Japan,145,7,2,24,Muscle Gain,Lunch,0
4,Tuna Sashimi,Japan,105,23,0.5,0,Muscle Gain,Lunch,1
4,Ramen (Shoyu),Japan,160,6,7,20,Muscle Gain,Lunch,0
4,Vegetable Tempura,Japan,220,3,14,22,Muscle Gain,Lunch,0
4,Cold Soba Noodles,Japan,115,5,1,22,Muscle Gain,Lunch,0
4,Chicken Yakitori,Japan,160,20,8,1,Muscle Gain,Lunch,1
4,Chawanmushi (Egg),Japan,90,7,6,2,Muscle Gain,Lunch,0
4,Edamame,Japan,122,11,5,10,Muscle Gain,Lunch,0
4,Salmon Teriyaki,Japan,190,21,9,6,Muscle Gain,Lunch,1
4,Beef Tataki,Japan,130,22,4,1,Muscle Gain,Lunch,1
4,Chicken Teriyaki,Japan,175,20,7,8,Muscle Gain,Dinner,1
4,Beef Gyudon (Lean),Japan,195,12,10,18,Muscle Gain,Dinner,0
4,Unagi (Grilled Eel),Japan,285,22,18,10,Muscle Gain,Dinner,1
4,Boiled Spinach (Gomae),Japan,45,3,2,4,Muscle Gain,Dinner,0
4,Beef Shabu Shabu,Japan,140,18,6,2,Muscle Gain,Dinner,0
4,Miso Glazed Cod,Japan,160,20,7,5,Muscle Gain,Dinner,1
4,Stir Fried Squid,Japan,100,18,2,2,Muscle Gain,Dinner,0
4,Clear Clam Soup,Japan,30,4,0.5,2,Muscle Gain,Dinner,0
4,Oden (Simmered),Japan,90,7,3,8,Muscle Gain,Dinner,0
4,Japanese Chicken Curry,Japan,150,9,7,14,Muscle Gain,Dinner,0
5,Oatmeal with Almonds,Pakistan,120,5,4,18,Muscle Gain,Breakfast,0
5,Boiled Eggs,Pakistan,155,13,11,1,Muscle Gain,Breakfast,0
5,Whole Wheat Paratha,Pakistan,260,6,12,35,Muscle Gain,Breakfast,0
5,Egg White Omelette,Pakistan,52,11,0.2,0.7,Muscle Gain,Breakfast,0
5,Yogurt with Honey,Pakistan,70,4,2,10,Muscle Gain,Breakfast,0
5,Chana Masala,Pakistan,140,6,5,18,Muscle Gain,Breakfast,0
5,Fruit Chaat,Pakistan,80,1,0.5,18,Muscle Gain,Breakfast,0
5,Mung Daal Chilla,Pakistan,160,9,4,22,Muscle Gain,Breakfast,0
5,Lassi (Salted),Pakistan,45,3,2,4,Muscle Gain,Breakfast,0
5,Mixed Nuts,Pakistan,600,20,50,20,Muscle Gain,Breakfast,1
5,Chicken Karahi (Lean),Pakistan,150,19,7,2,Muscle Gain,Lunch,1
5,Daal Mash,Pakistan,105,7,3,13,Muscle Gain,Lunch,0
5,Mixed Veg Sabzi,Pakistan,85,3,5,10,Muscle Gain,Lunch,0
5,Chicken Tikka Breast,Pakistan,140,26,3,0,Muscle Gain,Lunch,1
5,Grilled Fish,Pakistan,110,20,3,0,Muscle Gain,Lunch,1
5,Lentil Soup,Pakistan,75,5,1,12,Muscle Gain,Lunch,0
5,Brown Rice,Pakistan,110,3,1,23,Muscle Gain,Lunch,0
5,Chapli Kebab (Baked),Pakistan,210,22,12,2,Muscle Gain,Lunch,1
5,Palak Paneer,Pakistan,150,9,11,4,Muscle Gain,Lunch,0
5,Tinda Masala,Pakistan,60,2,3,7,Muscle Gain,Lunch,0
5,Mutton Stew (Lean),Pakistan,180,20,10,2,Muscle Gain,Dinner,1
5,Baked Trout,Pakistan,150,19,7,0,Muscle Gain,Dinner,1
5,Chicken Haleem,Pakistan,130,12,5,12,Muscle Gain,Dinner,0
5,Okra Bhindi Fry,Pakistan,90,2,6,8,Muscle Gain,Dinner,0
5,Steamed Chicken,Pakistan,120,22,2,4,Muscle Gain,Dinner,1
5,Matar Paneer,Pakistan,160,10,10,8,Muscle Gain,Dinner,0
5,Beef Shish Kebab,Pakistan,200,25,11,0,Muscle Gain,Dinner,1
5,Red Kidney Beans,Pakistan,120,8,1,20,Muscle Gain,Dinner,0
5,Pumpkin Masala,Pakistan,50,1,2,8,Muscle Gain,Dinner,0
5,Whole Wheat Roti,Pakistan,260,9,1,55,Muscle Gain,Dinner,0
6,Ricotta with Berries,Italy,150,9,10,8,Weight Loss,Breakfast,1
6,Fresh Fruit Salad,Italy,50,1,0.3,12,Weight Loss,Breakfast,1
6,Whole Wheat Biscotti,Italy,380,8,12,60,Weight Loss,Breakfast,0
6,Greek Yogurt with Nuts,Italy,130,11,8,6,Weight Loss,Breakfast,1
6,Boiled Egg with Spinach,Italy,140,11,10,1,Weight Loss,Breakfast,1
6,Focaccia with Tomato,Italy,250,7,9,36,Weight Loss,Breakfast,0
6,Bruschetta (Tomato),Italy,180,4,6,28,Weight Loss,Breakfast,0
6,Baked Peaches,Italy,60,1,0.2,15,Weight Loss,Breakfast,1
6,Plain Cornetto,Italy,340,6,17,40,Weight Loss,Breakfast,0
6,Espresso with Milk,Italy,30,2,1,3,Weight Loss,Breakfast,1
6,Caprese Salad,Italy,170,9,14,3,Weight Loss,Lunch,0
6,Minestrone Soup,Italy,60,3,1,10,Weight Loss,Lunch,1
6,Mushroom Risotto,Italy,140,4,5,21,Weight Loss,Lunch,1
6,Pasta e Fagioli,Italy,150,7,3,24,Weight Loss,Lunch,1
6,Grilled Calamari,Italy,100,18,2,2,Weight Loss,Lunch,1
6,Tuna & White Bean Salad,Italy,160,15,8,10,Weight Loss,Lunch,0
6,Whole Wheat Margherita,Italy,220,10,8,28,Weight Loss,Lunch,0
6,Lentil Pasta,Italy,180,12,2,30,Weight Loss,Lunch,0
6,Seafood Pasta (Lean),Italy,160,14,4,18,Weight Loss,Lunch,0
6,Roasted Eggplant,Italy,75,2,5,7,Weight Loss,Lunch,1
6,Grilled Branzino,Italy,120,23,3,0,Weight Loss,Dinner,1
6,Osso Buco (Lean),Italy,180,22,10,3,Weight Loss,Dinner,0
6,Chicken Piccata,Italy,175,21,9,4,Weight Loss,Dinner,0
6,Veal Marsala (Lean),Italy,200,24,10,5,Weight Loss,Dinner,0
6,Baked Sea Bream,Italy,130,22,4,0,Weight Loss,Dinner,1
6,Bresaola with Arugula,Italy,150,25,4,2,Weight Loss,Dinner,1
6,Stuffed Zucchini,Italy,110,6,5,12,Weight Loss,Dinner,1
6,Tomato Basil Cod,Italy,105,22,1,2,Weight Loss,Dinner,1
6,Beef Tagliata,Italy,210,26,12,0,Weight Loss,Dinner,0
6,Vegetable Lasagna,Italy,160,8,7,18,Weight Loss,Dinner,0
7,Pan con Tomate,Spain,180,5,8,24,Maintenance,Breakfast,0
7,Spanish Tortilla (Lean),Spain,160,6,10,12,Maintenance,Breakfast,0
7,Fresh Orange Juice,Spain,45,1,0.1,10,Maintenance,Breakfast,0
7,Manchego & Grapes,Spain,210,12,15,8,Maintenance,Breakfast,1
7,Boiled Egg with Ham,Spain,200,18,14,1,Maintenance,Breakfast,1
7,Greek Yogurt with Figs,Spain,120,8,4,14,Maintenance,Breakfast,0
7,Whole Wheat Toast & Oil,Spain,260,8,10,34,Maintenance,Breakfast,0
7,Grilled Peaches,Spain,60,1,0.2,15,Maintenance,Breakfast,0
7,Ensaimada (Small),Spain,360,6,18,45,Maintenance,Breakfast,0
7,Churros (Plain),Spain,340,4,20,38,Maintenance,Breakfast,0
7,Seafood Paella,Spain,165,10,5,22,Maintenance,Lunch,0
7,Gazpacho Soup,Spain,50,1,3,5,Maintenance,Lunch,0
7,Grilled Hake Fish,Spain,110,22,2,0,Maintenance,Lunch,1
7,Lentil Stew (Lentejas),Spain,120,8,4,15,Maintenance,Lunch,0
7,Jamon Iberico (Lean),Spain,310,32,20,0,Maintenance,Lunch,0
7,Russian Salad (Lean),Spain,180,5,12,14,Maintenance,Lunch,0
7,Grilled Squid (Sepia),Spain,100,18,2,2,Maintenance,Lunch,1
7,Chickpea & Spinach,Spain,140,7,6,15,Maintenance,Lunch,0
7,Salmorejo Soup,Spain,95,3,6,9,Maintenance,Lunch,0
7,Pisto Manchego (Veg),Spain,85,2,5,9,Maintenance,Lunch,0
7,Gambas al Ajillo,Spain,140,20,7,2,Maintenance,Dinner,1
7,Roasted Chicken Breast,Spain,165,31,4,0,Maintenance,Dinner,0
7,Baked Sea Bream,Spain,130,22,4,0,Maintenance,Dinner,1
7,Grilled Pork Loin,Spain,170,26,7,0,Maintenance,Dinner,0
7,Spanish Meatballs (Lean),Spain,210,18,12,8,Maintenance,Dinner,1
7,Stuffed Mushrooms,Spain,110,5,8,6,Maintenance,Dinner,0
7,Grilled Asparagus,Spain,25,2,0.1,4,Maintenance,Dinner,0
7,Baked Cod with Tomato,Spain,105,22,1,2,Maintenance,Dinner,1
7,Beef tenderloin,Spain,220,28,12,0,Maintenance,Dinner,0
7,Seafood Zarzuela,Spain,150,20,6,4,Maintenance,Dinner,1
8,Greek Yogurt & Honey,Greece,115,9,4,12,Muscle Gain,Breakfast,0
8,Spanakopita (Baked),Greece,240,7,15,20,Muscle Gain,Breakfast,0
8,Boiled Egg & Olives,Greece,180,10,15,2,Muscle Gain,Breakfast,0
8,Whole Wheat Rusks,Greece,310,10,3,62,Muscle Gain,Breakfast,0
8,Feta Cheese Omelette,Greece,190,13,15,1,Muscle Gain,Breakfast,0
8,Fresh Figs,Greece,74,1,0.3,19,Muscle Gain,Breakfast,0
8,Tahini on Toast,Greece,280,9,18,22,Muscle Gain,Breakfast,0
8,Cucumber and Tomato,Greece,25,1,0.2,5,Muscle Gain,Breakfast,0
8,Baked Rice Pudding,Greece,130,4,3,22,Muscle Gain,Breakfast,0
8,Grapefruit with Mint,Greece,42,0.8,0.1,11,Muscle Gain,Breakfast,0
8,Greek Salad (Horiatiki),Greece,110,4,9,5,Muscle Gain,Lunch,0
8,Chicken Souvlaki,Greece,160,24,6,1,Muscle Gain,Lunch,1
8,Moussaka (Healthy Style),Greece,180,10,11,12,Muscle Gain,Lunch,0
8,Lentil Soup (Fakes),Greece,105,8,3,14,Muscle Gain,Lunch,0
8,Grilled Octopus,Greece,160,30,2,0,Muscle Gain,Lunch,1
8,Stuffed Grape Leaves,Greece,140,4,8,15,Muscle Gain,Lunch,0
8,Baked Cod with Herbs,Greece,110,22,2,0,Muscle Gain,Lunch,1
8,Chickpea Stew,Greece,130,7,4,18,Muscle Gain,Lunch,0
8,Roasted Eggplant Dip,Greece,75,2,5,7,Muscle Gain,Lunch,0
8,Shrimp Saganaki,Greece,140,18,6,4,Muscle Gain,Lunch,0
8,Lamb Chops (Trimmed),Greece,260,25,18,0,Muscle Gain,Dinner,1
8,Baked Sea Bream,Greece,130,22,4,0,Muscle Gain,Dinner,1
8,Chicken Gyro Plate (Lean),Greece,190,22,10,3,Muscle Gain,Dinner,1
8,Stuffed Peppers (Gemista),Greece,110,6,4,14,Muscle Gain,Dinner,0
8,Beef Stifado Stew,Greece,180,20,10,4,Muscle Gain,Dinner,1
8,Grilled Sardines,Greece,200,25,11,0,Muscle Gain,Dinner,1
8,Gigantes Plaki (Beans),Greece,125,7,4,16,Muscle Gain,Dinner,0
8,Roasted Chicken & Lemon,Greece,160,24,7,2,Muscle Gain,Dinner,1
8,Grilled Squid,Greece,95,18,2,1,Muscle Gain,Dinner,0
8,Vegetable Briam,Greece,85,2,5,9,Muscle Gain,Dinner,0
9,Pan con Tomate,Spain,180,5,8,24,Maintenance,Breakfast,0
9,Spanish Tortilla (Lean),Spain,160,6,10,12,Maintenance,Breakfast,0
9,Fresh Orange Juice,Spain,45,1,0.1,10,Maintenance,Breakfast,0
9,Manchego & Grapes,Spain,210,12,15,8,Maintenance,Breakfast,1
9,Boiled Egg with Ham,Spain,200,18,14,1,Maintenance,Breakfast,1
9,Greek Yogurt with Figs,Spain,120,8,4,14,Maintenance,Breakfast,0
9,Whole Wheat Toast & Oil,Spain,260,8,10,34,Maintenance,Breakfast,0
9,Grilled Peaches,Spain,60,1,0.2,15,Maintenance,Breakfast,0
9,Ensaimada (Small),Spain,360,6,18,45,Maintenance,Breakfast,0
9,Churros (Plain),Spain,340,4,20,38,Maintenance,Breakfast,0
9,Seafood Paella,Spain,165,10,5,22,Maintenance,Lunch,0
9,Gazpacho Soup,Spain,50,1,3,5,Maintenance,Lunch,0
9,Grilled Hake Fish,Spain,110,22,2,0,Maintenance,Lunch,1
9,Lentil Stew (Lentejas),Spain,120,8,4,15,Maintenance,Lunch,0
9,Jamon Iberico (Lean),Spain,310,32,20,0,Maintenance,Lunch,0
9,Russian Salad (Lean),Spain,180,5,12,14,Maintenance,Lunch,0
9,Grilled Squid (Sepia),Spain,100,18,2,2,Maintenance,Lunch,1
9,Chickpea & Spinach,Spain,140,7,6,15,Maintenance,Lunch,0
9,Salmorejo Soup,Spain,95,3,6,9,Maintenance,Lunch,0
9,Pisto Manchego (Veg),Spain,85,2,5,9,Maintenance,Lunch,0
9,Gambas al Ajillo,Spain,140,20,7,2,Maintenance,Dinner,1
9,Roasted Chicken Breast,Spain,165,31,4,0,Maintenance,Dinner,0
9,Baked Sea Bream,Spain,130,22,4,0,Maintenance,Dinner,1
9,Grilled Pork Loin,Spain,170,26,7,0,Maintenance,Dinner,0
9,Spanish Meatballs (Lean),Spain,210,18,12,8,Maintenance,Dinner,1
9,Stuffed Mushrooms,Spain,110,5,8,6,Maintenance,Dinner,0
9,Grilled Asparagus,Spain,25,2,0.1,4,Maintenance,Dinner,0
9,Baked Cod with Tomato,Spain,105,22,1,2,Maintenance,Dinner,1
9,Beef tenderloin,Spain,220,28,12,0,Maintenance,Dinner,0
9,Seafood Zarzuela,Spain,150,20,6,4,Maintenance,Dinner,1
10,Grilled Mackerel,Japan,230,21,15,0,Muscle Gain,Breakfast,1
10,Miso Soup,Japan,35,3,1,4,Muscle Gain,Breakfast,0
10,Natto (Fermented Soy),Japan,210,18,11,14,Muscle Gain,Breakfast,0
10,Tamagoyaki,Japan,150,10,10,4,Muscle Gain,Breakfast,0
10,Boiled White Rice,Japan,130,3,0.3,28,Muscle Gain,Breakfast,0
10,Steamed Tofu,Japan,80,8,4,2,Muscle Gain,Breakfast,0
10,Pickled Vegetables,Japan,20,1,0.1,4,Muscle Gain,Breakfast,0
10,Green Tea,Japan,1,0.1,0,0,Muscle Gain,Breakfast,0
10,Onigiri (Tuna),Japan,170,5,1,35,Muscle Gain,Breakfast,0
10,Dried Seaweed,Japan,35,6,0.5,5,Muscle Gain,Breakfast,0
10,Salmon Sushi,Japan,145,7,2,24,Muscle Gain,Lunch,0
10,Tuna Sashimi,Japan,105,23,0.5,0,Muscle Gain,Lunch,1
10,Ramen (Shoyu),Japan,160,6,7,20,Muscle Gain,Lunch,0
10,Vegetable Tempura,Japan,220,3,14,22,Muscle Gain,Lunch,0
10,Cold Soba Noodles,Japan,115,5,1,22,Muscle Gain,Lunch,0
10,Chicken Yakitori,Japan,160,20,8,1,Muscle Gain,Lunch,1
10,Chawanmushi (Egg),Japan,90,7,6,2,Muscle Gain,Lunch,0
10,Edamame,Japan,122,11,5,10,Muscle Gain,Lunch,0
10,Salmon Teriyaki,Japan,190,21,9,6,Muscle Gain,Lunch,1
10,Beef Tataki,Japan,130,22,4,1,Muscle Gain,Lunch,1
10,Chicken Teriyaki,Japan,175,20,7,8,Muscle Gain,Dinner,1
10,Beef Gyudon (Lean),Japan,195,12,10,18,Muscle Gain,Dinner,0
10,Unagi (Grilled Eel),Japan,285,22,18,10,Muscle Gain,Dinner,1
10,Boiled Spinach (Gomae),Japan,45,3,2,4,Muscle Gain,Dinner,0
10,Beef Shabu Shabu,Japan,140,18,6,2,Muscle Gain,Dinner,0
10,Miso Glazed Cod,Japan,160,20,7,5,Muscle Gain,Dinner,1
10,Stir Fried Squid,Japan,100,18,2,2,Muscle Gain,Dinner,0
10,Clear Clam Soup,Japan,30,4,0.5,2,Muscle Gain,Dinner,0
10,Oden (Simmered),Japan,90,7,3,8,Muscle Gain,Dinner,0
10,Japanese Chicken Curry,Japan,150,9,7,14,Muscle Gain,Dinner,0
11,Pan con Tomate,Spain,180,5,8,24,Muscle Gain,Breakfast,0
11,Spanish Tortilla (Lean),Spain,160,6,10,12,Muscle Gain,Breakfast,0
11,Fresh Orange Juice,Spain,45,1,0.1,10,Muscle Gain,Breakfast,0
11,Manchego & Grapes,Spain,210,12,15,8,Muscle Gain,Breakfast,0
11,Boiled Egg with Ham,Spain,200,18,14,1,Muscle Gain,Breakfast,0
11,Greek Yogurt with Figs,Spain,120,8,4,14,Muscle Gain,Breakfast,0
11,Whole Wheat Toast & Oil,Spain,260,8,10,34,Muscle Gain,Breakfast,0
11,Grilled Peaches,Spain,60,1,0.2,15,Muscle Gain,Breakfast,0
11,Ensaimada (Small),Spain,360,6,18,45,Muscle Gain,Breakfast,0
11,Churros (Plain),Spain,340,4,20,38,Muscle Gain,Breakfast,0
11,Seafood Paella,Spain,165,10,5,22,Muscle Gain,Lunch,0
11,Gazpacho Soup,Spain,50,1,3,5,Muscle Gain,Lunch,0
11,Grilled Hake Fish,Spain,110,22,2,0,Muscle Gain,Lunch,1
11,Lentil Stew (Lentejas),Spain,120,8,4,15,Muscle Gain,Lunch,0
11,Jamon Iberico (Lean),Spain,310,32,20,0,Muscle Gain,Lunch,1
11,Russian Salad (Lean),Spain,180,5,12,14,Muscle Gain,Lunch,0
11,Grilled Squid (Sepia),Spain,100,18,2,2,Muscle Gain,Lunch,0
11,Chickpea & Spinach,Spain,140,7,6,15,Muscle Gain,Lunch,0
11,Salmorejo Soup,Spain,95,3,6,9,Muscle Gain,Lunch,0
11,Pisto Manchego (Veg),Spain,85,2,5,9,Muscle Gain,Lunch,0
11,Gambas al Ajillo,Spain,140,20,7,2,Muscle Gain,Dinner,1
11,Roasted Chicken Breast,Spain,165,31,4,0,Muscle Gain,Dinner,1
11,Baked Sea Bream,Spain,130,22,4,0,Muscle Gain,Dinner,1
11,Grilled Pork Loin,Spain,170,26,7,0,Muscle Gain,Dinner,1
11,Spanish Meatballs (Lean),Spain,210,18,12,8,Muscle Gain,Dinner,0
11,Stuffed Mushrooms,Spain,110,5,8,6,Muscle Gain,Dinner,0
11,Grilled Asparagus,Spain,25,2,0.1,4,Muscle Gain,Dinner,0
11,Baked Cod with Tomato,Spain,105,22,1,2,Muscle Gain,Dinner,1
11,Beef tenderloin,Spain,220,28,12,0,Muscle Gain,Dinner,1
11,Seafood Zarzuela,Spain,150,20,6,4,Muscle Gain,Dinner,1
12,Menemen (Eggs),Turkey,120,7,9,4,Muscle Gain,Breakfast,0
12,Simit (Sesame Bread),Turkey,270,9,5,50,Muscle Gain,Breakfast,0
12,White Cheese (Feta),Turkey,260,18,20,2,Muscle Gain,Breakfast,0
12,Olives and Tomatoes,Turkey,80,1,8,3,Muscle Gain,Breakfast,0
12,Honey and Kaymak,Turkey,350,2,25,30,Muscle Gain,Breakfast,0
12,Sucuk (Small Portion),Turkey,330,14,30,2,Muscle Gain,Breakfast,0
12,Boiled Egg & Parsley,Turkey,145,12,10,1,Muscle Gain,Breakfast,0
12,Tahini & Molasses,Turkey,400,10,25,38,Muscle Gain,Breakfast,0
12,Acuka (Nut Spread),Turkey,250,5,22,10,Muscle Gain,Breakfast,0
12,Cucumber with Dill,Turkey,20,1,0.1,4,Muscle Gain,Breakfast,0
12,Doner Kebab (Chicken Lean),Turkey,180,20,10,4,Muscle Gain,Lunch,1
12,Lentil Soup (Mercimek),Turkey,75,5,1,12,Muscle Gain,Lunch,0
12,Lahmacun (One Piece),Turkey,190,9,8,22,Muscle Gain,Lunch,0
12,Bulgur Pilaf,Turkey,120,4,1,25,Muscle Gain,Lunch,0
